Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Manhattan,MN02,7,2019,January,29.8148803,41.98223192,85.8416958,53.26876035
Manhattan,MN03,7,2019,January,15.28539049,42.93464157,42.75406054,42.85337347
Manhattan,MN04,7,2019,January,24.53964971,34.24061646,72.82176972,44.16885645
Manhattan,MN05,7,2019,January,24.06372368,36.32793949,68.16401861,44.52044301
Manhattan,MN06,7,2019,January,24.5142334,34.51262401,72.02942332,44.16696961
Manhattan,MN07,7,2019,January,28.98421073,41.33155293,80.85673336,51.50272315
Manhattan,MN08,7,2019,January,28.3071263,41.10438676,78.43375858,50.7105009
Manhattan,MN09,7,2019,January,19.34672831,55.96909038,50.75954108,53.62460164
Manhattan,MN10,7,2019,January,15.91334529,42.65174754,56.69176901,48.97027345
Manhattan,MN11,7,2019,January,12.32764075,39.99264143,33.22574937,36.94729119
Manhattan,MN12,7,2019,January,18.24021504,47.27294323,62.79124002,54.25674739
Queens East,QE07,7,2019,January,22.25532109,48.85853899,68.98306651,56.18444962
Queens East,QE08,7,2019,January,18.49776343,28.82095475,56.70104513,36.73925658
Queens East,QE10,7,2019,January,21.44974217,34.73949586,87.65279707,51.64967863
Queens East,QE11,7,2019,January,27.94464817,52.40572656,87.69558321,63.68375897
Queens East,QE12,7,2019,January,15.50190976,32.4146293,73.51391925,49.62102998
Queens East,QE13,7,2019,January,23.47780584,30.90903048,93.82306718,51.01527664
Queens East,QE14,7,2019,January,14.35735943,30.25543591,43.58861323,35.10909845
Queens West,QW01,7,2019,January,21.9448952,48.75210256,81.02699676,60.50109841
Queens West,QW02,7,2019,January,23.77152221,50.58806381,79.9356419,61.27143186
Queens West,QW03,7,2019,January,16.12599076,30.37930359,67.32555746,43.82880961
Queens West,QW04,7,2019,January,16.43567769,33.59950468,66.97394828,45.74876835
Queens West,QW05,7,2019,January,26.12512528,47.65763241,92.72982588,64.06521568
Queens West,QW06,7,2019,January,23.09051911,31.33843009,74.96135769,42.56408971
Queens West,QW09,7,2019,January,24.61870512,41.58640113,81.23452353,56.01946551
Staten Island,SI01,7,2019,January,21.76295209,39.65723154,79.79734359,52.48532232
Staten Island,SI02,7,2019,January,22.63785064,44.1745592,76.83437378,54.61207531
Staten Island,SI03,7,2019,January,23.44414686,46.38922735,82.40148239,57.89812588
Brooklyn North,BKN01,1,2019,July,16.75119618,49.8375044,47.21338744,48.64054006
Brooklyn North,BKN02,1,2019,July,19.27206253,31.91016401,56.45205627,39.14590269
Brooklyn North,BKN03,1,2019,July,12.34902944,34.10945442,42.0190592,37.71734045
Brooklyn North,BKN04,1,2019,July,15.47260923,36.15451269,60.49595381,47.25761426
Brooklyn North,BKN05,1,2019,July,10.01625064,24.23341254,38.17426463,30.59239087
Brooklyn North,BKN08,1,2019,July,15.60067818,44.72196835,51.13842973,47.64877216
Brooklyn North,BKN09,1,2019,July,12.67900008,32.24440764,44.06398329,36.94701827
Brooklyn North,BKN16,1,2019,July,9.441908673,21.39610223,31.45230547,25.98313738
Brooklyn North,BKN17,1,2019,July,13.25946058,27.38634062,55.66759716,38.63849903
Brooklyn South,BKS06,1,2019,July,27.13150072,43.15307319,77.25719005,53.20806304
Brooklyn South,BKS07,1,2019,July,19.85510561,45.53355821,64.11295987,52.92567569
Brooklyn South,BKS10,1,2019,July,23.27250001,55.20510464,72.44825164,62.06557144
Brooklyn South,BKS11,1,2019,July,18.72756708,45.664261,57.04515088,50.19233335
Brooklyn South,BKS12,1,2019,July,15.46260954,47.9406472,40.38205835,44.49287353
Brooklyn South,BKS13,1,2019,July,14.53450971,38.41160216,50.70054732,43.68261351
Brooklyn South,BKS14,1,2019,July,14.21081657,33.22961333,51.42756091,39.14032156
Brooklyn South,BKS15,1,2019,July,19.02261082,46.90213392,56.71734276,50.80727458
Brooklyn South,BKS18,1,2019,July,14.53616579,31.69429041,61.55880126,42.28277421
Bronx,BX01,1,2019,July,6.852013872,17.87461239,26.76961016,21.6898816
Bronx,BX02,1,2019,July,13.28367716,30.39587742,58.59874654,42.49273693
